"nom","sexe","date_naissance","num_deptmt","parti_ratt_financier","nb_mandats","semaines_presence","commission_presences","commission_interventions","hemicycle_interventions","hemicycle_interventions_courtes","amendements_signes","amendements_adoptes","rapports","propositions_ecrites","propositions_signees","questions_ecrites","questions_orales","semaines_presence_S","commission_presences_S","commission_interventions_S","hemicycle_interventions_S","hemicycle_interventions_courtes_S","amendements_signes_S","amendements_adoptes_S","rapports_S","propositions_ecrites_S","propositions_signees_S","questions_ecrites_S","questions_orales_S","score"
"Benoît Hamon","H","1967-06-26",78,"Parti socialiste",2,32,49,27,39,26,58,12,0,0,26,0,0,0.67839385529335,-0.0101807801318166,-0.368346210117276,-0.267143057114002,-0.163722138000341,-1.07985613747428,-0.534287511155203,-0.648157681501089,-0.380968156057908,-0.140669519575899,-0.289472868122306,-1.16074794916118,15.1884226059462
"Olivier Dassault","H","1951-06-01",60,"Les Républicains",1,13,16,0,15,3,775,23,0,1,32,44,4,-2.04306354576928,-1.26588253383695,-0.684271359228712,-0.412094811141367,-0.199047556493713,0.40171419959134,-0.441150698580652,-0.648157681501089,0.141870953948648,0.189788891196013,0.0673364485914953,0.520940488523882,15.1717076838353
"Pierre-Alain Muet","H","1945-01-01",69,"Parti socialiste",2,25,49,41,24,14,125,35,1,0,25,0,0,-0.324248345098144,-0.0101807801318166,-0.204533169837272,-0.357737903381105,-0.182152791127318,-0.941410931639698,-0.339546903044777,-0.0144302266753489,-0.380968156057908,-0.195745921371218,-0.289472868122306,-1.16074794916118,15.1006503258415
"Michel Pouzol","H","1962-07-05",91,"Parti socialiste",2,27,40,20,25,34,347,79,0,0,25,8,0,-0.0377791449862886,-0.352644894778671,-0.450252730257278,-0.351698246963298,-0.15143503591569,-0.482682040665405,0.0330003472534291,-0.648157681501089,-0.380968156057908,-0.195745921371218,-0.224598446901615,-1.16074794916118,15.0944752926101
"Thierry Solère","H","1971-08-17",92,"Les Républicains",3,27,22,0,18,27,650,20,0,0,17,11,3,-0.0377791449862886,-1.03757312407238,-0.684271359228712,-0.393975841887947,-0.16218625023976,0.143420905123833,-0.46655164746462,-0.648157681501089,-0.380968156057908,-0.636357135733767,-0.200270538943855,0.100518379102617,15.093398920684
"Guillaume Garot","H","1966-05-29",53,"Parti socialiste",2,27,30,11,20,29,28,23,1,0,26,20,2,-0.0377791449862886,-0.73316057771962,-0.555561113294423,-0.381896529052333,-0.159114474718597,-1.14184652814648,-0.441150698580652,-0.0144302266753489,-0.380968156057908,-0.140669519575899,-0.127286815070578,-0.319903730318647,15.0212274605643
"Sylviane Alaux","F","1945-07-01",64,"Parti socialiste",2,22,32,7,1,0,556,131,0,0,26,4,1,-0.753952145265927,-0.65705744113143,-0.60236483908871,-0.496650000990664,-0.203655219775457,-0.0508156523157328,0.473283461242218,-0.648157681501089,-0.380968156057908,-0.140669519575899,-0.25703565751196,-0.740325839739912,14.9612764948852
"Nathalie Nieson","F","1969-03-26",26,"Parti socialiste",3,28,44,7,9,2,11,7,0,0,25,2,3,0.105455455069639,-0.200438621602291,-0.60236483908871,-0.448332749648209,-0.200583444254295,-1.17697441619406,-0.576622425961818,-0.648157681501089,-0.380968156057908,-0.195745921371218,-0.273254262817133,0.100518379102617,14.8659931567751
"Roger-Gérard Schwartzenberg","H","1943-04-17",94,"Parti radical de gauche",2,20,5,16,106,27,794,98,0,2,5,0,2,-1.04042134537778,-1.68444978507199,-0.497056456051565,0.137513922879061,-0.16218625023976,0.440974780350401,0.193873023518564,-0.648157681501089,0.664710063955205,-1.29727395727759,-0.289472868122306,-0.319903730318647,14.8553155748957
"Josette Pons","F","1947-12-12",83,"Les Républicains",2,16,20,2,2,0,791,17,0,0,56,19,1,-1.61335974560149,-1.11367626066057,-0.660869496331568,-0.490610344572857,-0.203655219775457,0.434775741283181,-0.491952596348589,-0.648157681501089,-0.380968156057908,1.51162253428366,-0.135396117723164,-0.740325839739912,14.7804464963076
"Christian Bataille","H","1946-05-13",59,"Parti socialiste",2,26,56,11,1,1,6,0,1,0,26,3,1,-0.181013745042216,0.256180197926848,-0.555561113294423,-0.496650000990664,-0.202119332014876,-1.18730614797277,-0.635891306691078,-0.0144302266753489,-0.380968156057908,-0.140669519575899,-0.265144960164546,-0.740325839739912,14.7528436450934
"Michel Françaix","H","1943-05-28",60,"Parti socialiste",2,25,32,11,2,7,71,31,2,0,25,6,1,-0.324248345098144,-0.65705744113143,-0.555561113294423,-0.490610344572857,-0.192904005451388,-1.05299363484966,-0.373414834890069,0.619297228150391,-0.380968156057908,-0.195745921371218,-0.240817052206787,-0.740325839739912,14.651835220888
"Michel Sordi","H","1953-11-09",68,"Les Républicains",3,23,29,7,9,13,740,27,0,0,34,32,0,-0.610717545209999,-0.771212146013714,-0.60236483908871,-0.448332749648209,-0.183688678887899,0.329392077140438,-0.40728276673536,-0.648157681501089,-0.380968156057908,0.29994169478665,-0.0299751832395413,-1.16074794916118,14.5817386842823
"Jacques Pélissard","H","1946-03-20",39,"Les Républicains",3,24,30,16,39,22,617,18,0,0,33,20,0,-0.467482945154072,-0.73316057771962,-0.497056456051565,-0.267143057114002,-0.169865689042667,0.0752314753844108,-0.483485613387266,-0.648157681501089,-0.380968156057908,0.244865292991331,-0.127286815070578,-1.16074794916118,14.5789502491116
"Alain Rodet","H","1944-06-04",87,"Parti socialiste",3,22,39,14,8,1,29,10,1,0,25,15,3,-0.753952145265927,-0.390696463072766,-0.520458318948708,-0.454372406066016,-0.202119332014876,-1.13978018179074,-0.551221477077849,-0.0144302266753489,-0.380968156057908,-0.195745921371218,-0.16783332833351,0.100518379102617,14.4429669956631
"Serge Janquin","H","1943-08-05",62,"Parti socialiste",2,25,39,10,25,8,21,4,1,0,26,4,2,-0.324248345098144,-0.390696463072766,-0.567262044742995,-0.351698246963298,-0.191368117690806,-1.15631095263666,-0.602023374845786,-0.0144302266753489,-0.380968156057908,-0.140669519575899,-0.25703565751196,-0.319903730318647,14.380691018369
"Valérie Pecresse","F","1967-07-14",78,"Les Républicains",2,17,14,1,80,64,595,18,0,2,19,8,3,-1.47012514554557,-1.34198567042514,-0.67257042778014,-0.0195171439839187,-0.105358403098249,0.0297718555581295,-0.483485613387266,-0.648157681501089,0.664710063955205,-0.52620433214313,-0.224598446901615,0.100518379102617,14.3797461511789
"Frédéric Barbier","H","1960-08-30",25,"Parti socialiste",2,23,31,12,35,10,63,20,0,0,27,5,4,-0.610717545209999,-0.695109009425525,-0.543860181845851,-0.291301682785229,-0.188296342169644,-1.06952440569558,-0.46655164746462,-0.648157681501089,-0.380968156057908,-0.0855931177805807,-0.248926354859374,0.520940488523882,14.3527863954222
"Laurent Kalinowski","H","1955-06-28",57,"Parti socialiste",3,27,47,2,3,0,219,38,0,0,26,2,1,-0.0377791449862886,-0.0862839167200064,-0.660869496331568,-0.48457068815505,-0.203655219775457,-0.747174374200133,-0.314145954160809,-0.648157681501089,-0.380968156057908,-0.140669519575899,-0.273254262817133,-0.740325839739912,14.3289323711022
"Sébastien Huyghe","H","1969-10-25",59,"Les Républicains",2,22,30,29,54,46,602,19,0,1,7,16,2,-0.753952145265927,-0.73316057771962,-0.344944347220132,-0.176548210846898,-0.133004382788714,0.0442362800483099,-0.475018630425943,-0.648157681501089,0.141870953948648,-1.18712115368695,-0.159724025680923,-0.319903730318647,14.2617383596641
"Vincent Burroni","H","1947-10-01",13,"Parti socialiste",3,26,42,0,6,0,312,92,0,0,27,2,0,-0.181013745042216,-0.276541758190481,-0.684271359228712,-0.46645171890163,-0.203655219775457,-0.555004163116307,0.143071125750626,-0.648157681501089,-0.380968156057908,-0.0855931177805807,-0.273254262817133,-1.16074794916118,14.1955508988696
"Laurent Wauquiez","H","1975-04-12",43,"Les Républicains",3,19,15,4,24,69,698,22,0,2,18,23,2,-1.18365594543371,-1.30393410213104,-0.637467633434425,-0.357737903381105,-0.0976789642953423,0.242605530199356,-0.449617681541974,-0.648157681501089,0.664710063955205,-0.581280733938449,-0.102958907112819,-0.319903730318647,14.1894837540469
"Robert Olive","H","1950-07-16",66,"Parti socialiste",4,25,39,2,6,2,182,64,0,0,25,1,2,-0.324248345098144,-0.390696463072766,-0.660869496331568,-0.46645171890163,-0.200583444254295,-0.823629189362515,-0.0940043971664139,-0.648157681501089,-0.380968156057908,-0.195745921371218,-0.281363565469719,-0.319903730318647,14.1613509898701
"David Douillet","H","1969-02-17",78,"Les Républicains",2,17,17,2,1,4,869,20,0,1,39,8,1,-1.47012514554557,-1.22783096554285,-0.660869496331568,-0.496650000990664,-0.197511668733132,0.595950757030906,-0.46655164746462,-0.648157681501089,0.141870953948648,0.575323703763243,-0.224598446901615,-0.740325839739912,14.0812901390333
"Bernard Roman","H","1952-07-15",59,"Parti socialiste",2,31,29,10,23,69,76,21,0,0,27,5,1,0.535159255237422,-0.771212146013714,-0.567262044742995,-0.363777559798912,-0.0976789642953423,-1.04266190307096,-0.458084664503297,-0.648157681501089,-0.380968156057908,-0.0855931177805807,-0.248926354859374,-0.740325839739912,13.9594110315222
"Anne-Christine Lang","F","1961-08-10",75,"Parti socialiste",2,25,35,6,29,11,113,41,1,0,25,0,1,-0.324248345098144,-0.542902736249145,-0.614065770537281,-0.327539621292071,-0.186760454409062,-0.966207087908579,-0.28874500527684,-0.0144302266753489,-0.380968156057908,-0.195745921371218,-0.289472868122306,-0.740325839739912,13.9547251968431
"Patrice Prat","H","1965-11-28",30,"Parti socialiste",2,26,61,18,3,0,97,18,0,0,26,12,0,-0.181013745042216,0.446438039397322,-0.473654593154421,-0.48457068815505,-0.203655219775457,-0.99926862960042,-0.483485613387266,-0.648157681501089,-0.380968156057908,-0.140669519575899,-0.192161236291269,-1.16074794916118,13.8803920930335
"Jean Lassalle","H","1955-05-03",64,"Le Centre pour la France",3,30,21,4,146,105,41,2,0,0,6,23,3,0.391924655181495,-1.07562469236647,-0.637467633434425,0.379100179591337,-0.0423870049144128,-1.11498402552186,-0.618957340768432,-0.648157681501089,-0.380968156057908,-1.24219755548227,-0.102958907112819,0.100518379102617,13.6604732552758
"Luc Chatel","H","1964-08-15",52,"Les Républicains",2,21,27,4,15,6,543,15,0,0,13,29,4,-0.897186745321855,-0.847315282601904,-0.637467633434425,-0.412094811141367,-0.194439893211969,-0.0776781549403536,-0.508886562271235,-0.648157681501089,-0.380968156057908,-0.856662742915042,-0.0543030911973005,0.520940488523882,13.6554520349408
"Annick Lepetit","F","1958-03-31",75,"Parti socialiste",3,28,41,8,6,14,98,36,0,0,25,3,1,0.105455455069639,-0.314593326484576,-0.590663907640138,-0.46645171890163,-0.182152791127318,-0.99720228324468,-0.331079920083454,-0.648157681501089,-0.380968156057908,-0.195745921371218,-0.265144960164546,-0.740325839739912,13.6242332470623
"Geneviève Levy","F","1948-02-24",83,"Les Républicains",3,17,24,3,5,3,708,26,0,1,28,4,2,-1.47012514554557,-0.961469987484189,-0.649168564882996,-0.472491375319436,-0.199047556493713,0.263268993756756,-0.415749749696683,-0.648157681501089,0.141870953948648,-0.030516715985262,-0.25703565751196,-0.319903730318647,13.5962205111211
"Fanny Dombre Coste","F","1956-12-26",34,"Parti socialiste",3,23,29,4,6,0,194,39,0,0,27,7,3,-0.610717545209999,-0.771212146013714,-0.637467633434425,-0.46645171890163,-0.203655219775457,-0.798833033093634,-0.305678971199486,-0.648157681501089,-0.380968156057908,-0.0855931177805807,-0.232707749554201,0.100518379102617,13.54163758341
"Nathalie Kosciusko-Morizet","F","1973-05-14",91,"Les Républicains",2,22,23,8,55,10,668,27,0,0,19,4,2,-0.753952145265927,-0.999521555778284,-0.590663907640138,-0.170508554429091,-0.188296342169644,0.180615139527154,-0.40728276673536,-0.648157681501089,-0.380968156057908,-0.52620433214313,-0.25703565751196,-0.319903730318647,13.4905718050936
"Catherine Troallic","F","1974-05-10",76,"Parti socialiste",2,18,33,16,7,1,378,94,0,0,25,6,2,-1.32689054548964,-0.619005872837335,-0.497056456051565,-0.460412062483823,-0.202119332014876,-0.418625303637463,0.160005091673272,-0.648157681501089,-0.380968156057908,-0.195745921371218,-0.240817052206787,-0.319903730318647,13.2765684766036
"Bruno Le Maire","H","1969-04-15",27,"Les Républicains",2,17,11,4,50,18,564,14,0,1,25,23,3,-1.47012514554557,-1.45614037530742,-0.637467633434425,-0.200706836518126,-0.176009240084992,-0.0342848814698123,-0.517353545232557,-0.648157681501089,0.141870953948648,-0.195745921371218,-0.102958907112819,0.100518379102617,13.1623653740578
"Yves Censi","H","1964-02-08",12,"Les Républicains",1,29,17,6,24,102,594,15,1,0,3,9,1,0.248690055125567,-1.22783096554285,-0.614065770537281,-0.357737903381105,-0.0469946681961569,0.0277055092023894,-0.508886562271235,-0.0144302266753489,-0.380968156057908,-1.40742676086823,-0.216489144249028,-0.740325839739912,13.0595285610807
"Conchita Lacuey","F","1943-09-30",33,"Parti socialiste",3,18,31,10,2,0,313,132,0,0,25,38,1,-1.32689054548964,-0.695109009425525,-0.567262044742995,-0.490610344572857,-0.203655219775457,-0.552937816760567,0.481750444203541,-0.648157681501089,-0.380968156057908,-0.195745921371218,0.018680632675977,-0.740325839739912,12.9072919076465
"Christophe Guilloteau","H","1958-06-18",69,"Les Républicains",2,21,37,33,0,0,584,17,1,0,17,3,0,-0.897186745321855,-0.466799599660955,-0.298140621425846,-0.502689657408471,-0.203655219775457,0.00704204564498883,-0.491952596348589,-0.0144302266753489,-0.380968156057908,-0.636357135733767,-0.265144960164546,-1.16074794916118,12.8834118040001
"Dominique Bussereau","H","1952-07-13",17,"Les Républicains",2,22,32,41,11,39,581,18,0,1,13,6,0,-0.753952145265927,-0.65705744113143,-0.204533169837272,-0.436253436812595,-0.143755597112784,0.000843006577768653,-0.483485613387266,-0.648157681501089,0.141870953948648,-0.856662742915042,-0.240817052206787,-1.16074794916118,12.5625236654415
"Christian Assaf","H","1972-09-01",34,"Parti socialiste",2,23,47,12,1,6,222,45,0,0,26,6,0,-0.610717545209999,-0.0862839167200064,-0.543860181845851,-0.496650000990664,-0.194439893211969,-0.740975335132912,-0.254877073431548,-0.648157681501089,-0.380968156057908,-0.140669519575899,-0.240817052206787,-1.16074794916118,12.4249465954693
"Stéphane Saint-André","H","1964-05-21",62,"Parti radical de gauche",3,17,18,10,20,15,838,106,0,0,9,23,2,-1.47012514554557,-1.18977939724876,-0.567262044742995,-0.381896529052333,-0.180616903366737,0.531894020002964,0.261608887209147,-0.648157681501089,-0.380968156057908,-1.07696835009632,-0.102958907112819,-0.319903730318647,12.3616608213305
"Michel Lefait","H","1946-05-20",62,"Parti socialiste",2,24,30,6,7,3,52,10,0,0,25,51,2,-0.467482945154072,-0.73316057771962,-0.614065770537281,-0.460412062483823,-0.199047556493713,-1.09225421560872,-0.551221477077849,-0.648157681501089,-0.380968156057908,-0.195745921371218,0.1241015671596,-0.319903730318647,12.3295311046896
"Véronique Besse","F","1963-08-11",85,"Debout la France",2,21,24,20,18,2,251,1,0,2,9,36,2,-0.897186745321855,-0.961469987484189,-0.450252730257278,-0.393975841887947,-0.200583444254295,-0.681051290816451,-0.627424323729755,-0.648157681501089,0.664710063955205,-1.07696835009632,0.00246202737080422,-0.319903730318647,12.2040702006387
"Bernard Debré","H","1944-09-30",75,"Les Républicains",2,24,21,2,83,59,524,15,0,1,8,2,1,-0.467482945154072,-1.07562469236647,-0.660869496331568,-0.00139817473049801,-0.113037841901156,-0.116938735699415,-0.508886562271235,-0.648157681501089,0.141870953948648,-1.13204475189164,-0.273254262817133,-0.740325839739912,12.1886006769989
"Dominique Le Mèner","H","1958-11-12",72,"Les Républicains",2,21,22,0,2,4,726,20,0,0,20,41,1,-0.897186745321855,-1.03757312407238,-0.684271359228712,-0.490610344572857,-0.197511668733132,0.300463228160077,-0.46655164746462,-0.648157681501089,-0.380968156057908,-0.471127930347811,0.0430085406337361,-0.740325839739912,12.0066540677394
"Gilbert Le Bris","H","1949-03-03",29,"Parti socialiste",1,25,41,25,21,24,48,4,0,0,26,8,0,-0.324248345098144,-0.314593326484576,-0.391748073014419,-0.375856872634526,-0.166793913521504,-1.10051960103168,-0.602023374845786,-0.648157681501089,-0.380968156057908,-0.140669519575899,-0.224598446901615,-1.16074794916118,11.6164735213191
"Luce Pane","F","1955-09-28",76,"Parti socialiste",3,16,18,8,2,3,199,99,1,0,26,32,1,-1.61335974560149,-1.18977939724876,-0.590663907640138,-0.490610344572857,-0.199047556493713,-0.788501301314934,0.202340006479887,-0.0144302266753489,-0.380968156057908,-0.140669519575899,-0.0299751832395413,-0.740325839739912,11.2629603003721
"Jean-Marc Ayrault","H","1950-01-25",44,"Parti socialiste",2,29,38,0,11,1,5,3,0,0,25,0,0,0.248690055125567,-0.42874803136686,-0.684271359228712,-0.436253436812595,-0.202119332014876,-1.18937249432851,-0.610490357807109,-0.648157681501089,-0.380968156057908,-0.195745921371218,-0.289472868122306,-1.16074794916118,11.258899521207
"Jean-Luc Warsmann","H","1965-10-22",8,"Les Républicains",2,22,25,4,5,3,547,19,0,0,7,46,2,-0.753952145265927,-0.923418419190094,-0.637467633434425,-0.472491375319436,-0.199047556493713,-0.0694127695173933,-0.475018630425943,-0.648157681501089,-0.380968156057908,-1.18712115368695,0.0835550538966681,-0.319903730318647,11.2448953908736
"Pascal Deguilhem","H","1956-02-09",24,"Parti socialiste",3,24,28,5,13,20,116,39,0,0,25,1,1,-0.467482945154072,-0.809263714307809,-0.625766701985853,-0.424174123976981,-0.17293746456383,-0.960008048841359,-0.305678971199486,-0.648157681501089,-0.380968156057908,-0.195745921371218,-0.281363565469719,-0.740325839739912,11.1755190264623
"Patrick Devedjian","H","1944-08-26",92,"Les Républicains",2,26,34,16,39,88,586,15,0,0,2,0,0,-0.181013745042216,-0.58095430454324,-0.497056456051565,-0.267143057114002,-0.0684970968442962,0.0111747383564689,-0.508886562271235,-0.648157681501089,-0.380968156057908,-1.46250316266355,-0.289472868122306,-1.16074794916118,11.1210462705302
"Guy Chambefort","H","1944-10-14",3,"Parti socialiste",3,26,47,4,0,1,4,4,0,0,25,4,0,-0.181013745042216,-0.0862839167200064,-0.637467633434425,-0.502689657408471,-0.202119332014876,-1.19143884068425,-0.602023374845786,-0.648157681501089,-0.380968156057908,-0.195745921371218,-0.25703565751196,-1.16074794916118,11.0931056698164
"François Fillon","H","1954-03-04",75,"Les Républicains",2,24,24,1,49,11,491,12,0,1,5,0,1,-0.467482945154072,-0.961469987484189,-0.67257042778014,-0.206746492935933,-0.186760454409062,-0.185128165438837,-0.534287511155203,-0.648157681501089,0.141870953948648,-1.29727395727759,-0.289472868122306,-0.740325839739912,11.0879552235377
"Patrick Balkany","H","1948-08-16",92,"Les Républicains",2,13,10,2,0,6,514,12,0,4,24,12,0,-2.04306354576928,-1.49419194360152,-0.660869496331568,-0.502689657408471,-0.194439893211969,-0.137602199256815,-0.534287511155203,-0.648157681501089,1.71038828396832,-0.250822323166537,-0.192161236291269,-1.16074794916118,10.9396938929248
"Jean-Pierre Gorges","H","1953-08-03",28,"Non rattaché",3,18,36,7,0,11,521,12,0,0,28,17,0,-1.32689054548964,-0.50485116795505,-0.60236483908871,-0.502689657408471,-0.186760454409062,-0.123137774766635,-0.534287511155203,-0.648157681501089,-0.380968156057908,-0.030516715985262,-0.151614723028337,-1.16074794916118,10.8316361747724
"Florence Delaunay","F","1956-06-12",40,"Parti socialiste",2,19,31,5,7,7,139,32,0,0,25,12,2,-1.18365594543371,-0.695109009425525,-0.625766701985853,-0.460412062483823,-0.192904005451388,-0.912482082659337,-0.364947851928746,-0.648157681501089,-0.380968156057908,-0.195745921371218,-0.192161236291269,-0.319903730318647,10.7847811110158
"Jean-Christophe Lagarde","H","1967-10-24",93,"Union des démocrates et indépendants",3,14,15,12,28,16,865,56,0,0,14,12,2,-1.89982894571335,-1.30393410213104,-0.543860181845851,-0.333579277709878,-0.179081015606155,0.587685371607945,-0.161740260856997,-0.648157681501089,-0.380968156057908,-0.801586341119723,-0.192161236291269,-0.319903730318647,10.7728373724582
"Philippe Noguès","H","1955-05-07",56,"Non rattaché",2,23,33,42,18,7,285,39,0,0,10,22,0,-0.610717545209999,-0.619005872837335,-0.1928322383887,-0.393975841887947,-0.192904005451388,-0.610795514721289,-0.305678971199486,-0.648157681501089,-0.380968156057908,-1.021891948301,-0.111068209765405,-1.16074794916118,10.5982851436161
"Yann Capet","H","1975-12-31",62,"Parti socialiste",2,22,33,4,1,0,157,27,0,0,24,1,1,-0.753952145265927,-0.619005872837335,-0.637467633434425,-0.496650000990664,-0.203655219775457,-0.875287848256016,-0.40728276673536,-0.648157681501089,-0.380968156057908,-0.250822323166537,-0.281363565469719,-0.740325839739912,10.4857115898985
"Céleste Lett","H","1951-05-07",57,"Les Républicains",3,17,19,0,3,12,704,19,0,0,18,12,2,-1.47012514554557,-1.15172782895466,-0.684271359228712,-0.48457068815505,-0.185224566648481,0.255003608333796,-0.475018630425943,-0.648157681501089,-0.380968156057908,-0.581280733938449,-0.192161236291269,-0.319903730318647,10.4285242850994
"Yann Galut","H","1966-03-14",18,"Parti socialiste",2,17,24,9,9,23,122,30,1,0,26,11,1,-1.47012514554557,-0.961469987484189,-0.578962976191566,-0.448332749648209,-0.168329801282086,-0.947609970706918,-0.381881817851392,-0.0144302266753489,-0.380968156057908,-0.140669519575899,-0.200270538943855,-0.740325839739912,10.1483508117162
"Gilles Bourdouleix","H","1960-04-15",49,"Union des démocrates et indépendants",3,17,20,1,0,0,59,0,0,5,5,45,0,-1.47012514554557,-1.11367626066057,-0.67257042778014,-0.502689657408471,-0.203655219775457,-1.07778979111854,-0.635891306691078,-0.648157681501089,2.23322739397487,-1.29727395727759,0.0754457512440817,-1.16074794916118,10.049588706577
"Fabrice Verdier","H","1968-12-16",30,"Parti socialiste",4,16,26,8,5,0,195,33,0,0,27,17,2,-1.61335974560149,-0.885366850895999,-0.590663907640138,-0.472491375319436,-0.203655219775457,-0.796766686737894,-0.356480868967423,-0.648157681501089,-0.380968156057908,-0.0855931177805807,-0.151614723028337,-0.319903730318647,9.97375726015721
"Pascale Crozon","F","1944-05-29",69,"Parti socialiste",2,17,27,22,20,21,146,49,0,0,26,7,1,-1.47012514554557,-0.847315282601904,-0.426850867360134,-0.381896529052333,-0.171401576803248,-0.898017658169157,-0.221009141586257,-0.648157681501089,-0.380968156057908,-0.140669519575899,-0.232707749554201,-0.740325839739912,9.84113285897361
"Kléber Mesquida","H","1945-08-03",34,"Parti socialiste",3,19,26,10,1,0,205,28,0,0,25,59,0,-1.18365594543371,-0.885366850895999,-0.567262044742995,-0.496650000990664,-0.203655219775457,-0.776103223180493,-0.398815783774037,-0.648157681501089,-0.380968156057908,-0.195745921371218,0.188975988380291,-1.16074794916118,9.47874505564449
"Marie-Arlette Carlotti","F","1952-01-21",13,"Parti socialiste",3,17,24,6,0,4,212,122,0,0,25,7,0,-1.47012514554557,-0.961469987484189,-0.614065770537281,-0.502689657408471,-0.197511668733132,-0.761638798690313,0.397080614590313,-0.648157681501089,-0.380968156057908,-0.195745921371218,-0.232707749554201,-1.16074794916118,9.42855659981581
"Eduardo Rihan Cypel","H","1975-11-13",77,"Parti socialiste",3,20,34,13,12,22,4,3,0,0,25,2,1,-1.04042134537778,-0.58095430454324,-0.53215925039728,-0.430213780394788,-0.169865689042667,-1.19143884068425,-0.610490357807109,-0.648157681501089,-0.380968156057908,-0.195745921371218,-0.273254262817133,-0.740325839739912,9.26955388034835
"Anne-Lise Dufour-Tonini","F","1970-03-02",59,"Parti socialiste",3,22,21,0,2,1,92,32,0,0,25,4,1,-0.753952145265927,-1.07562469236647,-0.684271359228712,-0.490610344572857,-0.202119332014876,-1.00960036137912,-0.364947851928746,-0.648157681501089,-0.380968156057908,-0.195745921371218,-0.25703565751196,-0.740325839739912,9.24673482468395
"Jean-Pierre Maggi","H","1944-04-27",13,"Parti radical de gauche",3,17,20,2,24,21,720,97,0,0,9,4,0,-1.47012514554557,-1.11367626066057,-0.660869496331568,-0.357737903381105,-0.171401576803248,0.288065150025637,0.185406040557241,-0.648157681501089,-0.380968156057908,-1.07696835009632,-0.25703565751196,-1.16074794916118,9.19590653117865
"Georges Ginesta","H","1942-07-08",83,"Les Républicains",3,19,23,0,0,0,509,13,0,0,13,90,0,-1.18365594543371,-0.999521555778284,-0.684271359228712,-0.502689657408471,-0.203655219775457,-0.147933931035516,-0.52582052819388,-0.648157681501089,-0.380968156057908,-0.856662742915042,0.440364370610469,-1.16074794916118,9.12400934309256
"Mathieu Hanotin","H","1978-08-22",93,"Parti socialiste",2,21,16,3,23,7,225,51,0,0,26,7,0,-0.897186745321855,-1.26588253383695,-0.649168564882996,-0.363777559798912,-0.192904005451388,-0.734776296065692,-0.204075175663611,-0.648157681501089,-0.380968156057908,-0.140669519575899,-0.232707749554201,-1.16074794916118,9.08184686986795
"Barbara Romagnan","F","1974-04-25",25,"Parti socialiste",1,15,28,4,12,8,311,46,0,0,29,15,0,-1.75659434565742,-0.809263714307809,-0.637467633434425,-0.430213780394788,-0.191368117690806,-0.557070509472047,-0.246410090470226,-0.648157681501089,-0.380968156057908,0.0245596858100567,-0.16783332833351,-1.16074794916118,8.86127276330381
"Lucette Lousteau","F","1948-12-20",47,"Parti socialiste",2,14,27,2,0,0,255,96,0,0,26,28,0,-1.89982894571335,-0.847315282601904,-0.660869496331568,-0.502689657408471,-0.203655219775457,-0.67278590539349,0.176939057595918,-0.648157681501089,-0.380968156057908,-0.140669519575899,-0.0624123938498869,-1.16074794916118,8.75983490875218
"Carlos Da Silva","H","1974-11-16",91,"Parti socialiste",2,13,11,1,96,55,109,14,0,0,26,2,3,-2.04306354576928,-1.45614037530742,-0.67257042778014,0.0771173587009917,-0.119181392943482,-0.974472473331539,-0.517353545232557,-0.648157681501089,-0.380968156057908,-0.140669519575899,-0.273254262817133,0.100518379102617,8.6500897013603
"Jean-David Ciot","H","1967-05-01",13,"Parti socialiste",3,14,22,5,27,15,114,19,1,0,25,8,1,-1.89982894571335,-1.03757312407238,-0.625766701985853,-0.339618934127685,-0.180616903366737,-0.964140741552839,-0.475018630425943,-0.0144302266753489,-0.380968156057908,-0.195745921371218,-0.224598446901615,-0.740325839739912,8.57591750723076
"André Santini","H","1940-10-20",92,"Union des démocrates et indépendants",3,18,23,1,0,7,693,41,0,0,12,7,0,-1.32689054548964,-0.999521555778284,-0.67257042778014,-0.502689657408471,-0.192904005451388,0.232273798420655,-0.28874500527684,-0.648157681501089,-0.380968156057908,-0.911739144710361,-0.232707749554201,-1.16074794916118,8.5595036508543
"Jean-Pierre Blazy","H","1949-11-24",95,"Parti socialiste",2,12,19,9,7,5,294,52,0,0,29,30,1,-2.1862981458252,-1.15172782895466,-0.578962976191566,-0.460412062483823,-0.19597578097255,-0.592198397519628,-0.195608192702288,-0.648157681501089,-0.380968156057908,0.0245596858100567,-0.0461937885447141,-0.740325839739912,8.39647142834218
"Jean-Pierre Giran","H","1947-01-09",83,"Les Républicains",2,16,16,0,1,0,501,12,0,0,10,105,1,-1.61335974560149,-1.26588253383695,-0.684271359228712,-0.496650000990664,-0.203655219775457,-0.164464701881436,-0.534287511155203,-0.648157681501089,-0.380968156057908,-1.021891948301,0.562003910399265,-0.740325839739912,8.29986818332853
"Armand Jung","H","1950-12-13",67,"Parti socialiste",1,13,15,13,7,2,18,8,1,0,27,20,2,-2.04306354576928,-1.30393410213104,-0.53215925039728,-0.460412062483823,-0.200583444254295,-1.16250999170388,-0.568155443000495,-0.0144302266753489,-0.380968156057908,-0.0855931177805807,-0.127286815070578,-0.319903730318647,8.28259265783873
