"nom","sexe","date_naissance","num_deptmt","parti_ratt_financier","nb_mandats","semaines_presence","commission_presences","commission_interventions","hemicycle_interventions","hemicycle_interventions_courtes","amendements_signes","amendements_adoptes","rapports","propositions_ecrites","propositions_signees","questions_ecrites","questions_orales","semaines_presence_S","commission_presences_S","commission_interventions_S","hemicycle_interventions_S","hemicycle_interventions_courtes_S","amendements_signes_S","amendements_adoptes_S","rapports_S","propositions_ecrites_S","propositions_signees_S","questions_ecrites_S","questions_orales_S","score"
"Jean Leonetti","H","1948-07-09",6,"Les Républicains",3,18,15,70,107,89,552,48,2,0,5,7,4,-1.32689054548964,-1.30393410213104,0.134793842171307,0.143553579296868,-0.0669612090837148,-0.0590810377386931,-0.22947612454758,0.619297228150391,-0.380968156057908,-1.29727395727759,-0.232707749554201,0.520940488523882,17.3486264431427
"Philippe Duron","H","1947-06-19",14,"Parti socialiste",3,23,37,37,9,9,143,64,2,0,25,5,2,-0.610717545209999,-0.466799599660955,-0.251336895631559,-0.448332749648209,-0.189832229930225,-0.904216697236377,-0.0940043971664139,0.619297228150391,-0.380968156057908,-0.195745921371218,-0.248926354859374,-0.319903730318647,17.3174843692679
"Pascale Got","F","1961-04-01",33,"Parti socialiste",2,24,44,21,15,4,126,17,2,0,27,13,2,-0.467482945154072,-0.200438621602291,-0.438551798808706,-0.412094811141367,-0.197511668733132,-0.939344585283958,-0.491952596348589,0.619297228150391,-0.380968156057908,-0.0855931177805807,-0.184051933638683,-0.319903730318647,17.3001586681855
"Monique Iborra","F","1945-03-08",31,"Parti socialiste",2,24,39,31,29,35,245,130,1,0,25,1,1,-0.467482945154072,-0.390696463072766,-0.321542484322989,-0.327539621292071,-0.149899148155109,-0.693449368950891,0.464816478280896,-0.0144302266753489,-0.380968156057908,-0.195745921371218,-0.281363565469719,-0.740325839739912,17.3000842807288
"Yves Goasdoue","H","1959-08-22",61,"Parti socialiste",3,24,37,24,24,12,415,98,0,0,22,13,3,-0.467482945154072,-0.466799599660955,-0.403449004462991,-0.357737903381105,-0.185224566648481,-0.342170488475081,0.193873023518564,-0.648157681501089,-0.380968156057908,-0.360975126757174,-0.184051933638683,0.100518379102617,17.29033969056
"Marie-Odile Bouillé","F","1950-10-13",44,"Parti socialiste",3,30,47,22,9,10,120,38,1,0,25,17,1,0.391924655181495,-0.0862839167200064,-0.426850867360134,-0.448332749648209,-0.188296342169644,-0.951742663418398,-0.314145954160809,-0.0144302266753489,-0.380968156057908,-0.195745921371218,-0.151614723028337,-0.740325839739912,17.2801370557117
"Nicolas Dupont-Aignan","H","1961-03-07",91,"Debout la France",3,26,30,17,52,72,5,1,0,5,11,43,1,-0.181013745042216,-0.73316057771962,-0.485355524602993,-0.188627523682512,-0.0930713010135982,-1.18937249432851,-0.627424323729755,-0.648157681501089,2.23322739397487,-0.966815546505679,0.0592271459389089,-0.740325839739912,17.1484040075139
"Odile Saugues","F","1943-01-26",63,"Parti socialiste",2,28,62,50,1,3,10,0,1,0,25,5,1,0.105455455069639,0.484489607691417,-0.0992247868001269,-0.496650000990664,-0.199047556493713,-1.1790407625498,-0.635891306691078,-0.0144302266753489,-0.380968156057908,-0.195745921371218,-0.248926354859374,-0.740325839739912,17.0523022587161
"Olivier Faure","H","1968-08-18",77,"Parti socialiste",1,28,51,17,59,29,88,28,1,0,25,5,1,0.105455455069639,0.0659223564563732,-0.485355524602993,-0.146349928757864,-0.159114474718597,-1.01786574680208,-0.398815783774037,-0.0144302266753489,-0.380968156057908,-0.195745921371218,-0.248926354859374,-0.740325839739912,17.0127894051431
"Daniel Vaillant","H","1949-07-19",75,"Parti socialiste",2,32,63,15,3,6,5,3,0,0,25,0,2,0.67839385529335,0.522541175985512,-0.508757387500136,-0.48457068815505,-0.194439893211969,-1.18937249432851,-0.610490357807109,-0.648157681501089,-0.380968156057908,-0.195745921371218,-0.289472868122306,-0.319903730318647,17.0020084924149
"Alain Gest","H","1950-12-27",80,"Les Républicains",1,22,27,1,8,9,595,16,0,1,42,16,2,-0.753952145265927,-0.847315282601904,-0.67257042778014,-0.454372406066016,-0.189832229930225,0.0297718555581295,-0.500419579309912,-0.648157681501089,0.141870953948648,0.740552909149199,-0.159724025680923,-0.319903730318647,16.9700662881296
"Jean-Michel Clément","H","1954-10-31",86,"Parti socialiste",2,26,47,7,18,14,426,104,0,0,26,10,1,-0.181013745042216,-0.0862839167200064,-0.60236483908871,-0.393975841887947,-0.182152791127318,-0.31944067856194,0.244674921286501,-0.648157681501089,-0.380968156057908,-0.140669519575899,-0.208379841596442,-0.740325839739912,16.9578667535347
"François Sauvadet","H","1953-04-20",21,"Union des démocrates et indépendants",2,22,30,9,4,15,769,47,0,1,13,58,3,-0.753952145265927,-0.73316057771962,-0.578962976191566,-0.478531031737243,-0.180616903366737,0.3893161214569,-0.237943107508903,-0.648157681501089,0.141870953948648,-0.856662742915042,0.180866685727705,0.100518379102617,16.9180059085932
"Gérard Charasse","H","1944-03-26",3,"Parti radical de gauche",2,26,31,2,11,28,824,107,0,0,7,13,3,-0.181013745042216,-0.695109009425525,-0.660869496331568,-0.436253436812595,-0.160650362479179,0.502965171022603,0.270075870170469,-0.648157681501089,-0.380968156057908,-1.18712115368695,-0.184051933638683,0.100518379102617,16.9052839265943
"Emeric Bréhier","H","1971-12-26",77,"Parti socialiste",3,28,44,5,3,10,153,59,2,0,26,11,0,0.105455455069639,-0.200438621602291,-0.625766701985853,-0.48457068815505,-0.188296342169644,-0.883553233678977,-0.136339311973028,0.619297228150391,-0.380968156057908,-0.140669519575899,-0.200270538943855,-1.16074794916118,16.8657259193393
"Benoist Apparu","H","1969-11-24",51,"Les Républicains",3,27,33,5,62,75,558,15,0,0,10,23,4,-0.0377791449862886,-0.619005872837335,-0.625766701985853,-0.128230959504443,-0.0884636377318541,-0.0466829596042527,-0.508886562271235,-0.648157681501089,-0.380968156057908,-1.021891948301,-0.102958907112819,0.520940488523882,16.8389596712481
"Michel Destot","H","1946-09-02",38,"Parti socialiste",3,30,71,21,3,0,51,20,0,0,24,9,1,0.391924655181495,0.826953722338271,-0.438551798808706,-0.48457068815505,-0.203655219775457,-1.09432056196446,-0.46655164746462,-0.648157681501089,-0.380968156057908,-0.250822323166537,-0.216489144249028,-0.740325839739912,16.7958685898294
"Marie Récalde","F","1965-03-12",33,"Parti socialiste",2,24,43,17,6,1,284,51,1,0,26,14,2,-0.467482945154072,-0.238490189896386,-0.485355524602993,-0.46645171890163,-0.202119332014876,-0.612861861077029,-0.204075175663611,-0.0144302266753489,-0.380968156057908,-0.140669519575899,-0.175942630986096,-0.319903730318647,16.7880306746268
"Sébastien Denaja","H","1979-01-14",34,"Parti socialiste",2,28,45,15,46,74,186,49,0,0,25,4,2,0.105455455069639,-0.162387053308196,-0.508757387500136,-0.224865462189353,-0.0899995254924354,-0.815363803939555,-0.221009141586257,-0.648157681501089,-0.380968156057908,-0.195745921371218,-0.25703565751196,-0.319903730318647,16.7636930762282
"Jean-Michel Couve","H","1940-01-03",83,"Les Républicains",1,23,28,0,0,2,748,19,0,0,59,2,0,-0.610717545209999,-0.809263714307809,-0.684271359228712,-0.502689657408471,-0.200583444254295,0.345922847986358,-0.475018630425943,-0.648157681501089,-0.380968156057908,1.67685173966962,-0.273254262817133,-1.16074794916118,16.7535561285135
"Sophie Errante","F","1971-07-22",44,"Parti socialiste",2,26,56,13,4,5,190,76,0,0,25,5,2,-0.181013745042216,0.256180197926848,-0.53215925039728,-0.478531031737243,-0.19597578097255,-0.807098418516594,0.00759939836946051,-0.648157681501089,-0.380968156057908,-0.195745921371218,-0.248926354859374,-0.319903730318647,16.7491631959675
"René Dosière","H","1941-08-03",2,"Parti socialiste",1,29,47,31,22,13,40,13,2,0,25,4,0,0.248690055125567,-0.0862839167200064,-0.321542484322989,-0.369817216216719,-0.183688678887899,-1.1170503718776,-0.52582052819388,0.619297228150391,-0.380968156057908,-0.195745921371218,-0.25703565751196,-1.16074794916118,16.7345097305208
"Jean-Louis Christ","H","1951-01-24",68,"Les Républicains",3,23,26,0,2,1,737,17,0,1,38,37,1,-0.610717545209999,-0.885366850895999,-0.684271359228712,-0.490610344572857,-0.202119332014876,0.323193038073218,-0.491952596348589,-0.648157681501089,0.141870953948648,0.520247301967925,0.0105713300233906,-0.740325839739912,16.668895007771
"Jacques Valax","H","1951-08-23",81,"Parti socialiste",2,25,41,6,22,6,308,70,0,0,26,53,2,-0.324248345098144,-0.314593326484576,-0.614065770537281,-0.369817216216719,-0.194439893211969,-0.563269548539267,-0.0432024993984767,-0.648157681501089,-0.380968156057908,-0.140669519575899,0.140320172464773,-0.319903730318647,16.6314235754627
"Jacques Kossowski","H","1940-10-11",92,"Les Républicains",2,29,43,27,9,1,723,18,0,0,17,13,1,0.248690055125567,-0.238490189896386,-0.368346210117276,-0.448332749648209,-0.202119332014876,0.294264189092857,-0.483485613387266,-0.648157681501089,-0.380968156057908,-0.636357135733767,-0.184051933638683,-0.740325839739912,16.5956860222682
"Gérald Darmanin","H","1982-10-11",59,"Les Républicains",3,15,8,43,105,112,799,20,0,0,9,132,5,-1.75659434565742,-1.57029508018971,-0.181131306940129,0.131474266461254,-0.0316357905903431,0.451306512129102,-0.46655164746462,-0.648157681501089,-0.380968156057908,-1.07696835009632,0.780955082019097,0.941362597945147,16.5481094039158
"Christian Estrosi","H","1955-07-01",6,"Les Républicains",4,11,8,6,71,27,639,15,0,4,19,14,5,-2.32953274588113,-1.57029508018971,-0.614065770537281,-0.0738740517441808,-0.16218625023976,0.120691095210692,-0.508886562271235,-0.648157681501089,1.71038828396832,-0.52620433214313,-0.175942630986096,0.941362597945147,16.4762223070551
"Nathalie Appéré","F","1975-07-08",35,"Parti socialiste",3,24,33,42,115,56,197,89,0,0,25,35,1,-0.467482945154072,-0.619005872837335,-0.1928322383887,0.191870830639323,-0.1176455051829,-0.792633994026414,0.117670176866658,-0.648157681501089,-0.380968156057908,-0.195745921371218,-0.00564727528178216,-0.740325839739912,16.4416149689056
"Claude Greff","F","1954-06-02",37,"Les Républicains",2,30,22,2,53,233,657,14,0,0,11,3,3,0.391924655181495,-1.03757312407238,-0.660869496331568,-0.182587867264705,0.154206628440003,0.157885329614013,-0.517353545232557,-0.648157681501089,-0.380968156057908,-0.966815546505679,-0.265144960164546,0.100518379102617,16.4317918574004
"Christian Franqueville","H","1949-05-14",88,"Parti socialiste",3,32,52,1,6,2,18,3,0,0,26,29,2,0.67839385529335,0.103973924750468,-0.67257042778014,-0.46645171890163,-0.200583444254295,-1.16250999170388,-0.610490357807109,-0.648157681501089,-0.380968156057908,-0.140669519575899,-0.0543030911973005,-0.319903730318647,16.3847473348507
"Henri Jibrayel","H","1951-09-18",13,"Parti socialiste",2,22,39,17,8,1,156,49,1,0,25,33,3,-0.753952145265927,-0.390696463072766,-0.485355524602993,-0.454372406066016,-0.202119332014876,-0.877354194611756,-0.221009141586257,-0.0144302266753489,-0.380968156057908,-0.195745921371218,-0.0218658805869549,0.100518379102617,16.3284285993657
"Jean-Louis Destans","H","1951-03-03",27,"Parti socialiste",2,26,52,10,6,1,181,45,1,0,26,3,1,-0.181013745042216,0.103973924750468,-0.567262044742995,-0.46645171890163,-0.202119332014876,-0.825695535718255,-0.254877073431548,-0.0144302266753489,-0.380968156057908,-0.140669519575899,-0.265144960164546,-0.740325839739912,16.2367196740609
"Jean-Claude Mignon","H","1950-02-02",77,"Les Républicains",3,23,37,3,14,0,476,12,0,0,12,2,6,-0.610717545209999,-0.466799599660955,-0.649168564882996,-0.418134467559174,-0.203655219775457,-0.216123360774938,-0.534287511155203,-0.648157681501089,-0.380968156057908,-0.911739144710361,-0.273254262817133,1.36178470736641,16.1971525185789
"André Schneider","H","1947-01-03",67,"Les Républicains",1,28,40,12,5,10,506,13,1,0,14,47,1,0.105455455069639,-0.352644894778671,-0.543860181845851,-0.472491375319436,-0.188296342169644,-0.154132970102736,-0.52582052819388,-0.0144302266753489,-0.380968156057908,-0.801586341119723,0.0916643565492544,-0.740325839739912,16.1332657894859
